"filename", "language", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"/Users/zeeshan/Desktop/tallybook365/Readme.md", "Markdown", 0, 0, 10, 0, 4, 14
"/Users/zeeshan/Desktop/tallybook365/controllers/authController.js", "JavaScript", 127, 0, 0, 12, 38, 177
"/Users/zeeshan/Desktop/tallybook365/controllers/chalanController.js", "JavaScript", 142, 0, 0, 2, 29, 173
"/Users/zeeshan/Desktop/tallybook365/controllers/clientController.js", "JavaScript", 76, 0, 0, 0, 14, 90
"/Users/zeeshan/Desktop/tallybook365/controllers/companyController.js", "JavaScript", 80, 0, 0, 1, 20, 101
"/Users/zeeshan/Desktop/tallybook365/controllers/invoiceController.js", "JavaScript", 130, 0, 0, 2, 28, 160
"/Users/zeeshan/Desktop/tallybook365/controllers/purchaseOrderController.js", "JavaScript", 169, 0, 0, 2, 34, 205
"/Users/zeeshan/Desktop/tallybook365/controllers/quoteController.js", "JavaScript", 191, 0, 0, 35, 31, 257
"/Users/zeeshan/Desktop/tallybook365/controllers/vendorController.js", "JavaScript", 76, 0, 0, 0, 13, 89
"/Users/zeeshan/Desktop/tallybook365/errors/bad-request.js", "JavaScript", 8, 0, 0, 0, 3, 11
"/Users/zeeshan/Desktop/tallybook365/errors/custom-api.js", "JavaScript", 6, 0, 0, 0, 2, 8
"/Users/zeeshan/Desktop/tallybook365/errors/not-found.js", "JavaScript", 8, 0, 0, 0, 3, 11
"/Users/zeeshan/Desktop/tallybook365/errors/unauthenticated.js", "JavaScript", 8, 0, 0, 0, 3, 11
"/Users/zeeshan/Desktop/tallybook365/errors/unauthorized.js", "JavaScript", 8, 0, 0, 0, 3, 11
"/Users/zeeshan/Desktop/tallybook365/models/authModel.js", "JavaScript", 54, 0, 0, 36, 6, 96
"/Users/zeeshan/Desktop/tallybook365/models/chalanModel.js", "JavaScript", 78, 0, 0, 0, 3, 81
"/Users/zeeshan/Desktop/tallybook365/models/clientModel.js", "JavaScript", 46, 0, 0, 0, 3, 49
"/Users/zeeshan/Desktop/tallybook365/models/companyModel.js", "JavaScript", 37, 0, 0, 0, 2, 39
"/Users/zeeshan/Desktop/tallybook365/models/invoiceModel.js", "JavaScript", 106, 0, 0, 0, 3, 109
"/Users/zeeshan/Desktop/tallybook365/models/purchaseOrderModel.js", "JavaScript", 81, 0, 0, 0, 3, 84
"/Users/zeeshan/Desktop/tallybook365/models/quoteModel.js", "JavaScript", 87, 0, 0, 0, 2, 89
"/Users/zeeshan/Desktop/tallybook365/models/vendorModel.js", "JavaScript", 45, 0, 0, 0, 3, 48
"/Users/zeeshan/Desktop/tallybook365/package-lock.json", "JSON", 0, 5168, 0, 0, 1, 5169
"/Users/zeeshan/Desktop/tallybook365/package.json", "JSON", 0, 33, 0, 0, 1, 34
"/Users/zeeshan/Desktop/tallybook365/routes/authRouter.js", "JavaScript", 10, 0, 0, 0, 4, 14
"/Users/zeeshan/Desktop/tallybook365/routes/chalanRouter.js", "JavaScript", 12, 0, 0, 0, 3, 15
"/Users/zeeshan/Desktop/tallybook365/routes/clientRouter.js", "JavaScript", 10, 0, 0, 0, 2, 12
"/Users/zeeshan/Desktop/tallybook365/routes/companyRouter.js", "JavaScript", 7, 0, 0, 0, 3, 10
"/Users/zeeshan/Desktop/tallybook365/routes/invoiceRouter.js", "JavaScript", 12, 0, 0, 0, 2, 14
"/Users/zeeshan/Desktop/tallybook365/routes/purchaseOrderRouter.js", "JavaScript", 24, 0, 0, 0, 3, 27
"/Users/zeeshan/Desktop/tallybook365/routes/quoteRouter.js", "JavaScript", 12, 0, 0, 0, 2, 14
"/Users/zeeshan/Desktop/tallybook365/routes/vendorRouter.js", "JavaScript", 10, 0, 0, 0, 3, 13
"/Users/zeeshan/Desktop/tallybook365/server.js", "JavaScript", 49, 0, 0, 0, 19, 68
"/Users/zeeshan/Desktop/tallybook365/utils/authorize-authenticate.js", "JavaScript", 27, 0, 0, 0, 9, 36
"/Users/zeeshan/Desktop/tallybook365/utils/cookies.js", "JavaScript", 0, 0, 0, 5, 1, 6
"/Users/zeeshan/Desktop/tallybook365/utils/db.js", "JavaScript", 11, 0, 0, 4, 6, 21
"/Users/zeeshan/Desktop/tallybook365/utils/error-handler.js", "JavaScript", 23, 0, 0, 1, 3, 27
"/Users/zeeshan/Desktop/tallybook365/utils/jwt.js", "JavaScript", 10, 0, 0, 0, 4, 14
"/Users/zeeshan/Desktop/tallybook365/utils/not-found-404.js", "JavaScript", 2, 0, 0, 0, 2, 4
"/Users/zeeshan/Desktop/tallybook365/utils/password.js", "JavaScript", 10, 0, 0, 0, 5, 15
"/Users/zeeshan/Desktop/tallybook365/utils/validations.js", "JavaScript", 11, 0, 0, 1, 4, 16
"Total", "-", 1803, 5201, 10, 101, 327, 7442
